keyword	origin	count
柴胡	四川省德阳市中..	19396
柴胡	甘肃省定西市陇..	10260
柴胡	甘肃省定西市临..	420
柴胡	甘肃省陇南市西..	370
柴胡	山西省运城市闻..	314
柴胡	其他产地	882
