keyword	origin	count
升麻	黑龙江省	62
升麻	内蒙古自治区赤..	30
升麻	辽宁省铁岭市西..	18
升麻	辽宁省	10
升麻	黑龙江省鸡西市..	10
升麻	其他产地	78
